# LOTTO 09 — 58 opere, 58 autori
# riga: id | genere | titolo italiano | titolo originale

tlg4036.tlg023 | filosofia | Chrestomathy | 

### Quinto Smirneo — greco, tarda (1 opera)
tlg2046.tlg001 | epica | τὰ μεθ᾿ Ὅμηρον | Fall of Troy

### Senofonte Efesio — greco, imperiale (1 opera)
tlg0641.tlg001 | romanzo | Τὰ κατὰ Ἀνθίαν καὶ Ἁβροκόμην | Ephesiaca

### Strabone — greco, imperiale (1 opera)
tlg0099.tlg001 | geografia | Geografia | Γεωγραφικά

### Teofrasto — greco, ellenistica (1 opera)
tlg0093.tlg009 | scienze | Χαρακτῆρες | Characters

### Tolomeo — greco, imperiale (1 opera)
tlg0363.tlg007 | scienze | Τετράβιβλος | Tetrabiblos

### Trifiodoro — greco, tarda (1 opera)
tlg0647.tlg001 | epica | Ἅλωσις Ἰλίου | The Taking of Ilios

### Zonara — greco, tarda (1 opera)
tlg3135.tlg001 | storiografia | Ἐπιτομὴ Ἱστοριῶν | Epitome historiarum (Vol. 1)
